Group,site,species,intercept,slope,Persistence,Mean,Median
Birds,mountainbird_vt,AmericanCrow,0.002887055,-3.999150572,0.161290323,0.642857143,0
Birds,mountainbird_vt,AmericanRobin,0.024882942,-0.172660128,0.419354839,6.035714286,0
Birds,mountainbird_vt,BicknellsThrush,0.07104358,-0.605959735,0.709677419,45.25,50
Birds,mountainbird_vt,BlackandwhiteWarbler,NA,NA,0.225806452,0.535714286,0
Birds,mountainbird_vt,BlackburnianWarbler,0.001429478,-0.481912552,0.258064516,0.535714286,0
Birds,mountainbird_vt,BlackcappedChickadee,0.00268457,-0.775455662,0.387096774,2.5,0
Birds,mountainbird_vt,BlackpollWarbler,0.149204928,-0.10039474,0.870967742,125.2142857,122.5
Birds,mountainbird_vt,BlackthroatedBlueWarbler,0.004172075,-1.020984222,0.258064516,1.535714286,0
Birds,mountainbird_vt,BlackthroatedGreenWarbler,0.007246778,-0.421636427,0.419354839,3.821428571,0
Birds,mountainbird_vt,BlueheadedVireo,0.005068935,-0.540341583,0.322580645,2.464285714,0
Birds,mountainbird_vt,BlueJay,0.003051729,-0.66524943,0.322580645,2.535714286,0
Birds,mountainbird_vt,BorealChickadee,0.000151037,-0.065055849,0.258064516,1.607142857,0
Birds,mountainbird_vt,BrownCreeper,0.001907652,-0.700874815,0.290322581,0.642857143,0
Birds,mountainbird_vt,CanadaWarbler,0.001919549,-1.749918982,0.225806452,0.928571429,0
Birds,mountainbird_vt,CedarWaxwing,0.002604394,-3.682037066,0.161290323,0.714285714,0
Birds,mountainbird_vt,ChestnutsidedWarbler,0.001496296,-1.15264368,0.193548387,0.607142857,0
Birds,mountainbird_vt,CommonRaven,0.001989071,-1.247312491,0.322580645,1.142857143,0
Birds,mountainbird_vt,CommonYellowthroat,0.001193323,-0.370074365,0.225806452,0.5,0
Birds,mountainbird_vt,DarkeyedJunco,0.028323276,-0.719603689,0.322580645,10.89285714,0
Birds,mountainbird_vt,EurasianWren,0.155396953,-0.276156749,0.870967742,105.9642857,99.5
Birds,mountainbird_vt,GoldencrownedKinglet,0.007637866,-1.169122057,0.387096774,4.785714286,0
Birds,mountainbird_vt,HermitThrush,0.010825066,-1.670290033,0.451612903,6.535714286,1
Birds,mountainbird_vt,LeastFlycatcher,NA,NA,0.129032258,0.285714286,0
Birds,mountainbird_vt,MagnoliaWarbler,0.028167778,-0.625741396,0.419354839,17.10714286,0
Birds,mountainbird_vt,MourningDove,0.004416421,-0.628835108,0.290322581,1.392857143,0
Birds,mountainbird_vt,MourningWarbler,0.001668396,-1.697428307,0.161290323,0.571428571,0
Birds,mountainbird_vt,MyrtleWarbler,0.034689847,-0.192340621,0.516129032,28.42857143,4
Birds,mountainbird_vt,NashvilleWarbler,0.011698047,-1.009412029,0.387096774,6.75,0
Birds,mountainbird_vt,Ovenbird,0.002381627,-2.200282568,0.161290323,0.785714286,0
Birds,mountainbird_vt,PurpleFinch,0.011625929,-0.285021074,0.483870968,3.821428571,1.5
Birds,mountainbird_vt,RedbreastedNuthatch,0.010557596,-1.759058722,0.387096774,6.428571429,0
Birds,mountainbird_vt,RedeyedVireo,0.001742847,-1.431788919,0.290322581,0.75,0
Birds,mountainbird_vt,RubycrownedKinglet,0.006861748,-0.633132841,0.387096774,2.857142857,0
Birds,mountainbird_vt,SlatecoloredJunco,0.024433712,-0.492600005,0.451612903,20,1
Birds,mountainbird_vt,SwainsonsThrush,0.12418027,0.284320142,0.774193548,110.6428571,118.5
Birds,mountainbird_vt,WhitethroatedSparrow,2.159444526,0.007681431,0.903225807,151.6071429,140.5
Birds,mountainbird_vt,YellowbelliedFlycatcher,0.024522466,-1.250976245,0.387096774,12.64285714,0
Birds,mountainbird_vt,YellowrumpedWarbler,0.015966142,-1.315146506,0.258064516,6.964285714,0
Birds,pawnee_birds,AmericanRobin,0.001401652,-1.161313602,1,4,4
Birds,pawnee_birds,BarnSwallow,0.004488249,-0.439885708,0.777777778,26.22222222,12
Birds,pawnee_birds,BrewersSparrow,0.015176982,-0.685660122,1,43.77777778,35
Birds,pawnee_birds,BrownThrasher,0.000505993,-0.821190388,0.666666667,1.333333333,1
Birds,pawnee_birds,BullocksOriole,0.002256778,1.291098971,0.444444444,0.777777778,0
Birds,pawnee_birds,ChestnutLongspur,0.002840215,-1.006486295,1,6.555555556,6
Birds,pawnee_birds,CliffSwallow,0.013484126,-0.343589788,0.777777778,9.111111111,8
Birds,pawnee_birds,CommonGrackle,0.001284494,-0.414644779,0.666666667,1.555555556,2
Birds,pawnee_birds,EasternKingbird,0.000503733,-1.160084011,0.555555556,0.888888889,1
Birds,pawnee_birds,EuropeanStarling,0.00850607,-1.431793247,1,20.66666667,19
Birds,pawnee_birds,GrasshopperSparrow,0.001496799,-3.281069125,0.666666667,2.444444444,2
Birds,pawnee_birds,HornedLark,0.151431088,-1.079354104,1,368.6666667,272
Birds,pawnee_birds,HouseFinch,NA,NA,0.555555556,1.111111111,1
Birds,pawnee_birds,HouseSparrow,0.001600715,-1.18111353,0.888888889,4,3
Birds,pawnee_birds,Killdeer,0.001923888,-0.757479173,0.888888889,6.555555556,3
Birds,pawnee_birds,LarkBunting,0.349743294,-2.878748944,1,763.4444444,636
Birds,pawnee_birds,MccownsLongspur,0.079789642,-0.81159055,1,208.7777778,201
Birds,pawnee_birds,MountainPlover,0.001633868,-2.280575224,0.444444444,1.888888889,0
Birds,pawnee_birds,MourningDove,0.055055731,-0.5236915,1,128.4444444,133
Birds,pawnee_birds,NorthernMockingbird,0.003067991,-2.476590612,0.777777778,5.333333333,4
Birds,pawnee_birds,RedwingedBlackbird,0.001446866,-1.254767167,0.888888889,3.111111111,3
Birds,pawnee_birds,RockWren,NA,NA,0.333333333,0.333333333,0
Birds,pawnee_birds,SaysPhoebe,0.004005124,-1.241267516,1,10.66666667,7
Birds,pawnee_birds,WesternKingbird,0.007935314,-0.310052028,1,30.77777778,26
Birds,pawnee_birds,WesternMeadowlark,0.159788189,-0.884387873,1,346.3333333,328
Birds,pawnee_raptors,BurrowingOwl,NA,NA,0.777777778,2.111111111,2
Birds,pawnee_raptors,FerrugineousHawk,0.069081266,-0.705390868,1,3.777777778,3
Birds,pawnee_raptors,GoldenEagle,NA,NA,0.222222222,0.555555556,0
Birds,pawnee_raptors,RedtailedHawk,0.192807824,-1.029897543,0.888888889,9.555555556,5
Birds,pawnee_raptors,SwainsonsHawk,0.495975945,-0.75227698,1,23.55555556,22
Birds,redvers,Mallard,0.23087066,-0.465485254,0.972222222,78.45714286,57
Birds,redvers,American.Wigeon,0.06909735,-0.28728885,0.944444444,25.85294118,21.5
Birds,redvers,Gadwall,0.0346875,-0.41935548,0.972222222,14.85714286,9
Birds,redvers,Common.Teal,0.049896873,-0.414728963,0.972222222,18.62857143,17
Birds,redvers,Blue.Winged.Teal,0.268872785,-0.22384014,0.972222222,81.45714286,70
Birds,redvers,Pintail,0.045643591,-1.09547176,0.944444444,14.42857143,11
Birds,redvers,Northern.Shoveler,0.042449336,-0.752562795,0.972222222,12.57142857,11
