Year	site	total	APRA	ARGL	ARIS1	ARNE	ARWR	ASAL	ASMO	ASNU	ASTE	ASTR1	BAAB	BOER	CAWR	CHIN	CHST	COCO	CRAN	CRPT	CRYP1	DAPU	DECO	DEPI	DIWI	ERAB	ERDI	ERIO1	ERPU	ERRO	ERTE	ERTR	GILI1	GSDL1	HAGR	HIMU	HODR	HOGL	LEER	LEFE	LEGO	LELA	LEPI1	LESQ1	LEVI	LIBI	MAFE	MAPI	MELE	MILI	MUAR	MUPO	NAHI	OEAL	OEPR	PAHA	PENA	PHAC1	PHCO	PLMU	PLPA	RANE	SCAR	SCBR	SELO	SIIR	SILE	SOEL	SOOL	SPAI	SPIN	SPOR1	SPSU	SPVEG	STAR	STEX	TOAN	TSDL1	UKFO1	UKFO7	UKFOa	UKGR1	VEWR
2003	EAST2	70.017	0	0	0	0	0	0	0	0	0	0	0	38.72	0	0	0	0	0	0	0	0	0	0.027	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0.123	0.001	0	0	0	0	0	0	0.007	30.293	0	0	0	0	0.05	0	0	0.021	0	0	0	0.002	0	0	0	0	0	0	0	0	0.772	0	0	0	0	0	0	0	0	0	0
2004	EAST2	45.697	0	0	0	0	0	0	0	0	0	0	0	24.883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2005	EAST2	102.095	0	0	0	0	0	0	0	0.292	0	0	0	42.524	0	0	0	0	0	0	0	0	0	3.852	0	0	0	0	0	0	0	0.01	0.021	0	0	0	0	0	0	0	0.312	32.908	0.022	0.134	2.754	0	0	0	0	0	0.183	18.16	0	0	0	0	0.14	0.025	0	0.407	0	0	0.08	0.255	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016	0	0	0	0	0
2006	EAST2	36.589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	EAST2	128.922	0.005	0	0	0	0	0	0	0.239	0.265	0	0	50.066	0	0	0	0	0	0	0	0	0	0.087	0	0	0	0	0	0	0	0.009	0	0	0	0	0	0	0	0	5.466	5.252	0	0	0	0	0	0	0	0	0.003	62.746	0.007	0	0	0	0	0.075	0	0.823	0	0	0	0.041	0	0	0	0	0	0	0	0	3.813	0	0	0	0	0.025	0	0	0	0	0
2008	EAST2	297.31	0	0	0	0	0	0	0	0	0	0	0	113.919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183.391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990	EAST3	117.254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.111	114.755	0	0	0	0	0	0	0	0	0	0	0	0.555	0	0	0	0	0	0	0	0	0	0.282	0	0	0	0	0	0	0	0	0
1991	EAST3	126.903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0.012	0.023	0	0	0	0	0	0	0	0	1.287	123.836	0	0	0	0	0.062	0	0	0	0	0	0	0.306	0	0	0	0	0	1.318	0	0	0.055	0	0	0	0	0	0	0	0	0	0
1992	EAST3	179.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0.005	0	0	0	0	0	0	0	0	0.023	0.009	0	0	0	0	0	0	0	0	0.943	178.439	0	0	0	0	0.02	0	0	0	0	0	0	0.21	0	0	0	0.001	0	0	0	0	0.25	0.066	0	0	0	0.016	0	0	0	0	0
1993	EAST3	94.301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.303	0	0	0	0	0	0	0	0.023	0	0	0	0	0	0	0	0	0.006	0.317	0	0	0	0	0	0	0	0	0.976	90.852	0	0	0	0	0.04	0	0	0	0	0	0	0.174	0	0	0	0	0	0.377	0	0	0.145	0	0	0	0	1.088	0	0	0	0	0
1994	EAST3	188.026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.421	187.179	0	0	0	0	0	0	0	0	0	0	0	0.182	0	0	0	0	0	0	0	0.244	0	0	0	0	0	0	0	0	0	0	0
1995	EAST3	111.584	0	0	0	0	0	0	0	0	0	0.053	0	0	0	0.001	0	0	0	0	0.016	0	0	0.662	0	0	0	0	0	0	0	0.099	0	0	0	0	0	0	0	0	0.054	4.14	0	0	0	0	0	0	0	0	0.001	106.04	0	0	0	0	0.293	0	0.116	0	0	0	0	0.054	0	0	0	0	0	0	0	0	0.014	0	0	0	0	0.041	0	0	0	0	0
